date;Confirmed (incl. deaths);Deaths
Jan 20;1;0
Jan 21;1;0
Jan 22;1;0
Jan 23;1;0
Jan 24;2;0
Jan 25;2;0
Jan 26;3;0
Jan 27;4;0
Jan 28;4;0
Jan 29;4;0
Jan 30;7;0
Jan 31;11;0
Feb 1;12;0
Feb 2;15;0
Feb 3;15;0
Feb 4;16;0
Feb 5;19;0
Feb 6;23;0
Feb 7;24;0
Feb 8;24;0
Feb 9;25;0
Feb 10;27;0
Feb 11;28;0
Feb 12;28;0
Feb 13;28;0
Feb 14;28;0
Feb 15;28;0
Feb 16;29;0
Feb 17;30;0
Feb 18;31;0
Feb 19;51;0
Feb 20;104;1
Feb 21;204;1
Feb 22;433;2
Feb 23;602;5
Feb 24;833;7
Feb 25;977;10
Feb 26;1,261;12
Feb 27;1,766;13
Feb 28;2,337;13
Feb 29;3,150;17
Mar 1;3,736;18
Mar 2;4,212;22
Mar 3;4,812;28
Mar 4;5,328;32
Mar 5;5,766;35
Mar 6;6,284;42
Mar 7;6,767;44
Mar 8;7,134;50
Mar 9;7,382;51
Mar 10;7,513;54
Mar 11;7,755;60
Mar 12;7,869;66
Mar 13;7,979;67
Mar 14;8,086;72
Mar 15;8,162;75
Mar 16;8,236;75
Mar 17;8,320;81
Mar 18;8,413;84
Mar 19;8,565;91
Mar 20;8,652;94
Mar 21;8,799;102
Mar 22;8,897;104
Mar 23;8,961;111
Mar 24;9,037;120
Mar 25;9,137;126
Mar 26;9,241;131
Mar 27;9,332;139
Mar 28;9,478;144
Mar 29;9,583;152
Mar 30;9,661;158
Mar 31;9,786;162
Apr 1;9,887;165
Apr 2;9,976;169
Apr 3;10,062;174
Apr 4;10,156;177
Apr 5;10,237;183
Apr 6;10,284;186
Apr 7;10,331;192
Apr 8;10,384;200
Apr 9;10,423;204
Apr 10;10,450;208
Apr 11;10,480;211
Apr 12;10,512;214
Apr 13;10,537;217
Apr 14;10,564;222
Apr 15;10,591;225
Apr 16;10,613;229
Apr 17;10,635;230
Apr 18;10,653;232
Apr 19;10,661;234
Apr 20;10,674;236
Apr 21;10,683;237
Apr 22;10,694;238
Apr 23;10,702;240
Apr 24;10,708;240
Apr 25;10,718;240
Apr 26;10,728;242
Apr 27;10,738;243
Apr 28;10,752;244
Apr 29;10,761;246
Apr 30;10,765;247
May 1;10,774;248
May 2;10,780;250
May 3;10,793;250
May 4;10,801;252
