Number of days;New Cases
1;1
2;0
3;0
4;0
5;1
6;0
7;1
8;1
9;0
10;0
11;3
12;4
13;1
14;3
15;0
16;1
17;5
18;3
19;0
20;0
21;3
22;1
23;0
24;0
25;0
26;0
27;0
28;2
29;0
30;2
31;34
32;16
33;74
34;190
35;210
36;207
37;130
38;253
39;449
40;427
41;909
42;595
43;686
44;600
45;516
46;438
47;518
48;483
49;367
50;248
51;131
52;242
53;114
54;110
55;107
56;76
57;74
58;84
59;93
60;152
61;87
62;147
63;98
64;64
65;76
66;100
67;104
68;91
69;146
70;105
71;78
72;125
73;101
74;89
75;86
76;94
77;81
78;47
79;47
80;53
81;39
82;27
83;30
84;32
85;25
86;27
87;27
88;22
